Student_ID,First_Name,Last_Name,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1065,Sara,Williams,0,24,0,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,0.0,14.9,0,0,2,0,10,6.9
S1066,Maria,Williams,1,21,2,66.02,97.41,86.45,77.13,58.75,7.3,55.54,62.38,4.0,17.0,0,1,0,1,8,4.0
S1067,Ali,Williams,1,18,1,59.79,58.62,57.78,93.17,94.13,7.6,60.83,62.51,1.0,19.6,0,1,3,1,8,7.2
S1068,Maria,Davis,1,23,2,90.65,59.79,80.89,98.35,56.07,3.2,77.42,94.16,4.0,10.0,0,1,3,1,5,7.9
S1069,Emma,Brown,1,24,0,92.24,51.38,82.23,87.41,58.46,4.67,77.89,66.57,4.0,23.2,0,1,4,0,5,7.7
S1070,Sara,Jones,1,21,1,62.93,88.41,73.75,50.28,73.89,8.85,80.31,77.26,3.0,12.7,0,1,1,0,1,4.9
S1071,Sara,Jones,0,23,1,66.28,56.54,76.04,56.74,97.26,7.86,79.19,91.58,2.0,21.5,0,1,1,1,5,6.7
S1072,Ali,Johnson,0,21,2,61.81,59.82,74.47,53.81,66.48,6.84,74.76,62.98,3.0,17.8,1,0,3,1,1,6.8
S1073,Sara,Jones,1,21,1,95.42,64.86,44.91,55.06,82.91,0.65,90.1,56.19,4.0,19.8,1,1,0,0,4,7.3
S1074,Ahmed,Jones,0,22,2,75.13,66.02,80.22,69.15,79.43,0.4,96.69,97.42,4.0,15.3,0,1,4,1,7,8.2
S1075,Sara,Williams,0,18,1,82.81,64.68,68.19,66.92,57.48,1.3,63.49,85.23,0.0,16.1,0,1,1,1,2,7.5
S1076,Maria,Williams,0,21,2,70.77,70.22,66.31,,62.41,5.81,56.51,58.85,4.0,26.7,0,1,4,0,1,4.7
S1077,Maria,Davis,1,20,1,81.55,88.87,91.6,94.11,96.51,5.36,71.25,90.99,1.0,16.9,1,1,0,0,2,4.1
S1078,Omar,Johnson,1,23,2,69.29,89.16,41.39,80.77,59.24,9.43,51.32,89.36,4.0,24.8,0,1,2,2,7,4.7
S1079,Maria,Smith,1,24,1,66.98,87.9,55.08,,84.75,6.95,94.17,91.88,4.0,14.9,0,1,0,1,3,4.2
S1080,Omar,Johnson,0,22,1,81.72,46.07,47.28,,98.23,2.94,61.99,63.81,4.0,22.5,1,1,4,0,5,6.2
S1081,Maria,Johnson,0,23,1,,87.98,42.12,70.51,55.98,1.61,77.46,72.43,1.0,10.8,0,1,2,1,1,5.4
S1082,Ahmed,Brown,1,20,3,,47.22,56.54,65.88,69.96,8.5,55.75,84.68,4.0,27.9,0,1,4,1,10,4.0
S1083,Liam,Davis,1,20,1,57.47,47.48,99.31,71.92,61.2,4.6,77.66,69.53,1.0,29.2,0,1,2,2,10,4.4
S1084,Omar,Brown,0,21,0,68.43,96.87,56.21,80.52,61.08,6.53,51.95,53.5,0.0,27.5,1,1,4,0,10,6.0
S1085,John,Johnson,0,20,1,70.76,89.16,79.82,74.65,55.95,5.65,88.44,56.82,2.0,13.7,0,1,4,1,8,8.7
S1086,Emma,Johnson,1,18,1,81.43,73.14,47.1,91.9,82.48,1.07,97.77,79.86,2.0,11.9,0,1,2,2,4,9.0
S1087,Ali,Johnson,0,20,2,95.73,92.5,76.11,95.01,87.32,0.57,65.35,68.76,3.0,9.6,1,1,3,2,10,4.3
S1088,Maria,Jones,0,21,2,,99.36,99.07,73.48,83.84,3.77,62.91,50.27,2.0,26.8,0,1,3,0,2,8.2
S1089,Sara,Brown,0,23,3,,76.64,57.51,61.99,96.23,3.62,72.4,88.34,0.0,8.0,0,1,0,2,8,6.4
S1090,Liam,Johnson,0,20,3,59.69,76.77,90.88,97.26,57.28,6.74,81.0,70.84,2.0,21.1,0,1,3,2,10,7.1
S1091,Maria,Williams,0,22,0,75.11,85.27,99.85,86.75,65.99,6.32,59.45,65.69,3.0,13.3,0,1,0,2,5,6.5
S1092,Sara,Davis,0,24,2,71.49,53.93,75.31,82.01,67.23,9.69,90.17,85.68,1.0,9.7,0,1,3,2,2,8.6
S1093,Emma,Davis,0,22,2,86.45,50.03,58.56,87.27,61.6,8.58,59.93,72.76,4.0,9.6,0,1,1,1,9,6.4
S1094,Emma,Williams,1,22,1,,85.57,80.41,,57.11,4.97,50.27,84.74,0.0,26.8,0,1,1,0,6,4.8
S1095,Emma,Davis,1,23,3,79.72,60.69,90.69,53.38,74.34,5.0,76.21,50.66,1.0,26.5,1,1,1,2,8,7.9
S1096,Sara,Jones,0,19,2,94.19,48.1,50.28,57.66,91.72,6.74,55.76,50.47,4.0,11.8,0,1,1,2,2,6.6
S1097,Maria,Jones,0,24,2,95.53,58.89,67.15,57.37,97.73,1.14,84.91,78.0,4.0,5.8,1,1,4,2,5,4.6
S1098,Emma,Smith,0,22,1,97.94,61.52,59.15,71.03,56.47,10.0,58.37,99.11,3.0,26.7,0,1,3,1,3,6.3
S1099,Ahmed,Smith,1,22,1,88.66,97.91,57.0,57.87,91.16,5.19,90.87,63.62,3.0,6.4,0,1,2,2,8,7.4
S1100,Omar,Smith,1,19,3,95.3,81.88,91.65,92.73,91.23,9.1,73.52,84.14,4.0,7.1,0,0,2,2,1,5.5
S1101,Sara,Davis,0,23,1,61.73,71.85,65.3,78.9,69.45,9.67,78.31,58.61,0.0,25.5,0,1,2,1,9,8.6
S1102,Sara,Jones,1,24,2,59.88,98.13,60.34,68.41,55.5,5.82,59.33,65.58,0.0,25.4,0,1,1,1,6,8.2
S1103,Maria,Jones,0,22,1,50.32,94.19,76.21,53.48,99.5,1.03,57.33,53.9,1.0,10.1,0,1,4,2,1,6.8
S1104,Sara,Jones,0,21,0,85.34,70.72,53.16,79.55,82.78,5.73,81.56,94.04,4.0,6.0,0,1,3,2,3,4.3
S1105,Sara,Williams,0,23,1,96.87,94.34,53.79,55.83,99.11,5.98,62.77,65.52,4.0,6.6,0,1,4,0,8,6.9
S1106,Emma,Jones,0,24,0,59.35,64.26,71.22,87.16,74.18,7.89,69.3,61.52,1.0,16.3,1,1,0,2,8,6.1
S1107,Maria,Williams,0,22,1,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,0.0,15.5,0,1,1,1,3,7.6
S1108,Emma,Smith,0,22,0,87.32,53.96,57.7,77.2,62.36,4.66,61.48,59.97,4.0,9.6,0,1,4,1,10,5.3
S1109,Omar,Smith,0,19,0,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,3.0,27.7,1,1,4,2,8,7.0
S1110,Liam,Davis,1,24,1,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,0.0,18.8,1,1,4,0,6,6.8
S1111,Omar,Smith,0,21,2,98.51,79.54,89.0,65.39,51.19,1.91,71.59,98.14,3.0,25.2,0,1,3,1,7,6.6
S1112,Liam,Davis,1,23,1,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,3.0,7.6,0,1,0,2,2,4.6
S1113,Emma,Johnson,0,20,1,67.5,41.34,54.13,73.53,68.85,1.46,94.13,99.78,2.0,29.3,1,1,1,1,1,6.4
S1114,Omar,Johnson,0,18,0,77.15,43.24,75.98,96.13,63.07,8.41,58.3,58.81,2.0,25.2,0,1,4,1,1,6.8
S1115,Maria,Brown,1,21,2,69.18,71.96,91.35,64.87,81.73,2.77,58.67,51.03,3.0,12.2,0,1,4,2,3,8.6
S1116,Ali,Davis,1,20,1,50.07,51.46,64.52,95.28,68.21,9.6,73.87,94.78,1.0,5.5,1,1,2,2,7,6.3
S1117,Emma,Brown,0,21,1,,77.95,95.93,52.68,70.11,6.95,76.29,79.0,3.0,9.1,0,1,1,1,9,7.2
S1118,Liam,Brown,1,24,1,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,3.0,15.5,0,1,1,0,2,6.8
S1119,Ahmed,Johnson,0,20,0,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,4.0,5.1,0,1,4,2,6,5.0
S1120,Liam,Davis,0,24,1,67.25,58.15,55.54,59.53,56.1,2.35,71.57,63.04,3.0,6.0,1,1,4,2,8,4.9
S1121,Ahmed,Johnson,1,20,3,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,2.0,7.5,1,1,4,2,9,7.7
S1122,Sara,Brown,1,21,3,68.0,89.77,51.76,56.82,85.86,8.96,54.22,80.82,3.0,25.2,0,1,4,1,10,6.6
S1123,Omar,Davis,1,19,1,50.8,99.88,94.47,66.61,65.66,7.55,85.53,54.01,1.0,18.7,1,1,3,0,3,8.5
S1124,Ahmed,Brown,1,21,1,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,1.0,9.8,1,1,3,2,5,8.5
S1125,Liam,Jones,0,24,0,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,2.0,11.6,0,1,0,0,5,5.5
S1126,Sara,Davis,1,21,1,54.0,51.61,75.62,85.1,60.75,9.79,59.58,59.76,0.0,21.1,1,1,4,1,8,4.5
S1127,Ali,Davis,1,20,1,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,4.0,13.0,0,1,0,0,1,5.7
S1128,Maria,Brown,1,18,1,50.48,96.26,63.43,86.22,81.07,2.1,74.52,93.31,1.0,22.1,0,1,3,1,3,4.3
S1129,Maria,Jones,1,20,2,97.95,52.71,77.9,84.74,86.99,7.92,97.82,69.16,4.0,24.5,1,0,2,1,6,7.9
S1130,Maria,Williams,1,22,0,75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.1,4.0,12.7,1,1,1,1,6,4.7
S1131,Ahmed,Johnson,0,21,1,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,4.0,14.2,0,1,3,0,4,8.3
S1132,Ali,Brown,0,23,1,52.9,84.2,47.22,64.81,72.71,3.77,57.15,82.59,1.0,6.3,0,1,4,1,5,6.1
S1133,Ahmed,Davis,1,21,3,79.18,64.39,42.0,,89.38,2.93,85.69,83.79,1.0,25.5,0,1,2,2,10,5.4
S1134,Omar,Johnson,1,19,0,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,4.0,20.2,0,1,4,1,3,6.5
S1135,Ahmed,Johnson,0,24,2,92.17,92.5,60.26,61.44,57.61,6.59,96.75,83.41,4.0,27.2,0,1,2,1,4,7.0
S1136,Ali,Johnson,1,23,0,,73.46,65.85,95.6,83.23,1.09,80.61,69.69,0.0,9.7,1,1,3,2,10,7.5
S1137,Ali,Williams,0,20,2,63.02,59.87,70.2,76.74,70.48,9.54,75.72,95.55,2.0,29.0,0,1,4,0,10,5.7
S1138,Omar,Smith,0,19,0,92.88,60.64,85.47,,85.5,2.94,80.96,56.48,4.0,22.7,0,1,4,1,1,8.9
S1139,Ali,Brown,1,21,1,68.73,57.42,63.53,88.8,62.83,2.95,97.16,64.28,1.0,9.9,1,1,4,2,6,6.1
S1140,Liam,Smith,0,20,1,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.3,1.0,16.6,0,1,0,2,5,8.2
S1141,Ali,Smith,1,20,0,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,3.0,22.5,0,1,4,1,5,4.2
S1142,Maria,Smith,1,22,2,82.73,72.88,90.99,,71.08,4.19,81.81,57.42,4.0,5.4,0,1,4,0,4,7.9
S1143,Liam,Johnson,0,22,3,62.72,86.41,53.97,83.34,79.55,3.7,93.99,92.26,3.0,24.5,1,1,3,2,9,6.8
S1144,Liam,Jones,0,18,1,71.6,80.47,58.88,55.68,55.33,2.73,78.35,96.25,1.0,28.7,0,1,0,0,9,7.2
S1145,Omar,Johnson,1,22,3,52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,0.0,7.0,0,1,4,1,5,5.9
S1146,John,Johnson,0,24,3,79.4,71.72,44.76,75.77,51.79,3.01,86.67,55.17,0.0,27.5,0,1,0,1,7,6.7
S1147,John,Davis,1,23,1,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,4.0,16.6,0,1,0,2,3,8.7
S1148,Ali,Davis,0,20,0,70.67,44.09,66.9,59.24,99.45,4.39,52.83,98.22,1.0,17.9,0,1,4,0,1,5.9
S1149,Liam,Smith,0,22,2,71.01,44.7,51.22,55.22,93.69,2.91,86.27,56.82,2.0,26.0,0,1,3,1,1,4.5
S1150,John,Johnson,1,18,3,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,2.0,19.7,0,1,1,1,3,7.6
S1151,John,Smith,1,21,2,60.1,78.35,65.49,75.35,93.05,5.54,97.04,67.65,4.0,13.8,0,1,3,2,3,6.5
S1152,Ali,Davis,1,23,0,57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,2.0,23.3,0,1,3,1,5,6.1
S1153,John,Jones,0,22,2,74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,1.0,8.5,1,1,4,2,8,7.9
S1154,Ahmed,Brown,1,20,1,76.46,78.78,98.75,60.62,58.68,9.89,98.44,52.39,4.0,21.7,0,1,4,1,6,6.8
S1155,Sara,Smith,1,21,1,,95.4,44.44,84.66,82.65,0.41,65.54,85.11,0.0,24.4,0,1,4,2,8,7.2
S1156,Omar,Jones,0,24,2,53.66,50.14,53.0,91.29,59.65,1.69,84.13,66.34,1.0,13.4,0,1,1,0,7,8.6
S1157,Sara,Brown,0,20,0,79.99,85.08,85.4,90.37,70.87,1.79,53.75,82.88,3.0,29.3,0,1,0,1,1,4.3
S1158,Ali,Williams,1,21,2,76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,0.0,21.0,1,1,1,0,10,5.3
S1159,Maria,Smith,1,24,2,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,1.0,7.4,1,1,0,1,8,8.5
S1160,Omar,Smith,1,24,1,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,4.0,29.2,0,1,1,2,1,8.0
S1161,Ali,Williams,1,23,2,60.28,63.3,56.83,99.24,61.22,9.29,76.63,76.84,2.0,23.6,0,1,4,1,5,4.9
S1162,Liam,Williams,0,20,1,52.04,90.67,65.76,99.44,77.6,0.12,66.99,92.67,1.0,22.4,1,1,3,1,3,4.8
S1163,Maria,Smith,0,22,0,83.61,40.26,50.63,,62.59,3.65,72.55,98.64,4.0,11.3,0,1,0,2,7,8.1
S1164,Sara,Williams,1,22,3,,71.21,97.85,85.46,75.16,7.61,93.48,87.66,0.0,16.8,0,1,0,2,5,6.8
S1165,Ali,Johnson,1,18,2,50.88,53.03,46.46,97.56,65.1,1.54,60.55,88.34,1.0,27.5,0,1,0,2,2,8.3
S1166,Liam,Brown,1,21,1,62.57,84.61,99.13,72.5,75.31,0.78,64.74,76.45,2.0,12.7,0,1,2,1,1,8.6
S1167,Omar,Brown,0,18,1,65.47,42.58,90.51,56.84,63.88,6.31,89.27,54.87,4.0,15.6,1,1,4,2,10,4.3
S1168,Omar,Brown,1,19,2,80.84,89.89,65.39,83.45,99.0,0.1,96.76,83.35,4.0,11.4,1,1,2,1,6,8.8
S1169,Emma,Johnson,1,22,2,58.63,90.29,84.39,98.01,74.64,8.02,54.65,57.39,1.0,10.4,0,1,4,1,6,7.6
S1170,Liam,Williams,0,21,0,70.65,89.97,80.29,84.86,87.18,0.67,90.19,62.28,1.0,6.1,0,1,4,2,8,8.2
S1171,Ahmed,Jones,0,23,1,74.12,49.15,52.8,90.17,85.03,5.24,82.25,85.38,2.0,23.4,0,1,3,0,9,7.2
S1172,John,Williams,1,18,0,72.96,77.82,60.34,,74.53,7.4,61.54,82.85,0.0,7.3,0,1,0,2,2,5.5
S1173,Maria,Smith,1,23,2,98.7,40.86,70.79,54.82,61.94,2.42,87.79,65.72,3.0,18.3,0,1,4,1,5,7.0
S1174,Liam,Davis,0,23,1,,90.88,78.27,58.44,75.54,1.04,86.4,88.6,2.0,6.2,1,1,0,0,5,6.6
S1175,Emma,Brown,1,23,2,97.55,83.38,72.57,99.13,84.05,1.76,57.1,96.97,4.0,29.6,1,1,2,1,10,8.7
S1176,John,Williams,1,18,1,79.1,71.87,68.38,74.66,73.0,8.55,75.11,77.26,0.0,22.7,1,1,4,2,8,6.8
S1177,John,Jones,0,19,2,89.79,83.84,66.59,50.6,54.1,7.06,87.91,83.88,4.0,20.8,0,1,4,1,9,4.1
S1178,Ali,Smith,0,24,0,71.52,45.66,69.9,97.77,50.9,1.98,59.58,63.59,3.0,9.7,0,0,2,2,5,7.4
S1179,John,Johnson,0,24,2,72.69,71.72,66.06,74.89,66.39,7.16,73.14,98.54,0.0,18.2,0,1,4,1,5,4.3
S1180,Ahmed,Johnson,1,18,0,93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,4.0,17.6,1,1,3,2,3,8.7
S1181,Omar,Jones,0,24,2,94.8,98.36,93.28,77.42,95.31,9.98,65.34,94.37,4.0,14.0,0,0,4,2,6,6.4
S1182,Emma,Smith,0,20,1,61.93,91.43,77.97,55.09,58.79,3.92,60.9,96.39,4.0,8.9,1,0,3,0,7,8.8
S1183,John,Brown,1,24,2,59.96,84.0,83.36,80.78,69.71,8.65,75.25,85.98,2.0,14.2,0,1,0,1,3,4.1
S1184,Ali,Williams,1,22,2,74.81,96.02,75.85,,85.6,4.46,57.06,90.58,1.0,20.2,0,1,2,1,2,6.7
S1185,Ahmed,Smith,0,18,1,95.01,60.81,78.58,51.74,90.77,8.98,69.16,72.89,4.0,17.2,1,0,4,1,2,5.1
S1186,Sara,Johnson,0,24,1,66.12,94.05,74.7,92.09,73.89,0.92,63.76,95.98,4.0,19.3,0,1,4,0,9,7.2
S1187,Omar,Jones,1,18,2,82.6,59.51,41.61,61.77,59.06,1.75,87.3,87.13,0.0,19.3,0,0,4,0,6,6.5
S1188,Omar,Jones,1,19,1,85.41,83.97,99.98,69.69,63.54,8.5,84.98,66.34,4.0,11.1,0,0,2,1,2,6.8
S1189,Emma,Williams,0,20,1,88.93,84.19,42.02,68.64,70.95,8.19,54.75,51.75,4.0,7.8,1,0,1,1,5,5.8
